src,dst
0,1
1,69
1,25
25,200
25,134
69,105
69,98
98,151
98,155
98,173
98,258
98,279
98,321
98,208
98,158
105,130
105,290
130,156
130,178
130,310
130,193
130,236
130,237
130,187
130,293
130,402
130,403
130,228
130,307
130,308
130,358
130,359
130,252
130,253
130,255
130,262
130,149
130,164
130,165
149,298
149,299
151,289
151,318
151,390
151,391
151,268
151,300
151,301
155,257
155,230
155,231
158,378
158,379
158,227
158,244
158,245
158,364
158,370
164,240
164,241
165,316
165,317
173,175
173,339
175,197
175,294
178,270
178,280
178,282
187,233
187,398
187,399
193,260
193,313
200,242
200,243
208,213
208,297
213,396
213,397
213,400
213,401
213,305
213,346
213,347
213,375
213,382
213,383
213,322
213,323
213,327
213,330
213,353
213,357
213,392
213,393
233,303
233,349
233,368
233,369
237,394
237,395
240,388
240,389
243,350
243,351
244,324
244,333
244,336
244,337
245,267
245,328
245,264
245,276
260,344
260,345
262,360
262,361
289,372
289,373
290,377
290,386
290,404
290,405
290,380
290,385
300,366
300,367
310,362
310,363
321,340
321,406
321,407
